Light,Media,Rep,Vit_C,Flavonoid,Phenols,Nitrate,Carotenoid,Chlorophyll_A,Chlorophyll_B ,Total_Chlorophyll,Leaf_area ,Plant_Height,Perc_Canopy_Cover,Yield,Dry_Weight 
Blue,Sand,1, 94.83 , 4.54 , 0.78 , 54.84 , 51.79 ,287.337,911.304,1197.328,86.8,9.5,45.6,7.5,0.9
Blue,Sand,2, 83.27 , 4.43 , 0.77 , 56.36 , 51.32 ,287.313,911.846,1176.119,53.9,8.6,58.5,28.9,1.6
Blue,Sand,3, 94.06 , 4.53 , 0.78 , 57.12 , 51.47 ,286.984,912.474,1190.810,46.5,9.0,50.9,15.1,0.9
Blue,Cocopeat,1, 46.61 , 3.78 , 0.68 , 26.89 , 15.94 ,49.568,429.573,314.900,75.7,9.6,73.2,25.5,1.4
Blue,Cocopeat,2, 47.63 , 3.67 , 0.66 , 26.12 , 15.44 ,49.592,429.031,304.683,62.4,9.5,58.5,28.9,1.6
Blue,Cocopeat,3, 47.58 , 3.78 , 0.68 , 25.35 , 16.13 ,49.898,428.945,312.174,89.2,9.9,50.7,14.1,0.8
Combination,Sand,1, 74.72 , 4.11 , 0.77 , 48.36 , 30.56 ,538.451,940.308,696.215,77.5,9.9,71.0,19.7,1.1
Combination,Sand,2, 77.57 , 4.20 , 0.79 , 49.12 , 31.60 ,538.122,940.936,704.533,58.2,9.7,61.5,31.8,1.8
Combination,Sand,3, 76.27 , 4.07 , 0.76 , 47.60 , 31.03 ,537.792,941.564,684.576,58.4,9.1,49.0,12.3,1.1
Blue,Cocopeat+Sand,1, 66.05 , 3.00 , 0.53 , 39.71 , 24.47 ,93.775,891.699,545.169,56.0,9.7,46.8,6.1,0.8
Blue,Cocopeat+Sand,2, 64.17 , 3.04 , 0.54 , 38.94 , 25.44 ,93.469,891.786,548.791,61.3,9.0,47.3,22.4,1.5
Blue,Cocopeat+Sand,3, 63.24 , 3.10 , 0.55 , 37.42 , 26.60 ,93.421,892.869,557.019,63.8,10.3,47.0,11.0,0.7
Combination,Cocopeat,1, 120.81 , 3.59 , 0.64 , 98.32 , 64.96 ,20.367,769.600,506.419,64.8,10.2,75.7,24.6,1.4
Combination,Cocopeat,2, 115.47 , 3.67 , 0.66 , 95.77 , 63.22 ,19.708,770.857,514.943,71.5,9.5,52.6,27.5,1.7
Combination,Cocopeat,3, 110.24 , 3.69 , 0.66 , 95.77 , 65.13 ,19.426,770.401,518.628,54.4,10.4,46.1,13.3,0.9
Combination,Cocopeat+Sand,1, 81.18 , 3.59 , 0.66 , 49.92 , 46.79 ,17.077,953.536,509.125,50.4,10.0,85.1,25.5,1.9
Combination,Cocopeat+Sand,2, 81.67 , 3.67 , 0.67 , 51.20 , 48.32 ,16.772,953.622,517.377,56.2,10.2,50.0,22.9,1.3
Combination,Cocopeat+Sand,3, 86.56 , 3.63 , 0.67 , 51.20 , 48.35 ,16.772,953.622,513.662,49.1,10.3,49.0,12.5,0.9
White,Cocopeat,1, 72.69 , 3.53 , 0.61 , 37.51 , 37.34 ,73.670,458.069,420.740,55.5,7.4,46.9,15.9,0.9
White,Cocopeat,2, 75.96 , 3.52 , 0.61 , 39.81 , 38.80 ,73.670,458.069,417.077,69.4,9.8,48.0,17.3,1.0
White,Cocopeat,3, 70.75 , 3.48 , 0.60 , 39.81 , 39.16 ,73.976,457.983,408.557,61.5,8.8,41.5,12.9,0.7
White,Cocopeat+Sand,1, 63.12 , 3.85 , 0.71 , 31.33 , 29.01 ,117.296,817.085,463.205,65.3,10.7,32.1,20.1,1.0
White,Cocopeat+Sand,2, 61.22 , 4.13 , 0.77 , 32.85 , 29.87 ,116.991,817.171,460.004,61.4,10.2,31.1,15.1,0.9
White,Cocopeat+Sand,3, 62.45 , 4.25 , 0.80 , 32.09 , 30.59 ,116.685,817.258,460.175,59.7,11.2,46.3,14.1,1.1
White,Sand,1, 52.14 , 3.91 , 0.75 , 24.52 , 17.32 ,445.195,761.753,422.750,56.0,9.3,51.6,16.3,1.3
White,Sand,2, 52.47 , 3.84 , 0.73 , 22.99 , 17.77 ,446.724,761.321,417.901,51.0,8.7,52.4,19.4,1.1
White,Sand,3, 55.40 , 3.83 , 0.73 , 22.99 , 17.86 ,446.724,761.321,412.449,47.8,9.9,49.9,12.9,0.7
Red,Sand,1, 86.14 , 3.74 , 0.67 , 48.13 , 52.52 ,105.090,696.930,527.115,51.0,8.1,60.4,7.9,1.0
Red,Sand,2, 81.68 , 3.55 , 0.63 , 47.37 , 50.73 ,104.785,697.017,513.245,55.7,9.4,56.0,27.2,1.6
Red,Sand,3, 86.22 , 3.66 , 0.66 , 49.66 , 51.22 ,104.455,697.645,509.815,54.5,9.5,46.5,9.8,0.6
Red,Cocopeat,1, 61.15 , 3.49 , 0.65 , 33.72 , 21.45 ,82.701,766.408,340.399,67.4,12.8,71.1,16.4,1.1
Red,Cocopeat,2, 59.27 , 3.47 , 0.65 , 32.95 , 21.41 ,82.371,767.037,335.380,68.3,10.9,57.8,35.4,2.7
Red,Cocopeat,3, 58.83 , 3.47 , 0.65 , 34.48 , 21.99 ,82.066,767.123,335.456,77.0,10.4,54.8,13.3,0.9
Red,Cocopeat+Sand,1, 74.55 , 4.23 , 0.81 , 49.04 , 40.29 ,226.925,1171.871,528.902,65.2,9.1,75.9,23.1,1.3
Red,Cocopeat+Sand,2, 70.32 , 4.22 , 0.81 , 51.34 , 39.73 ,227.207,1172.326,521.881,53.4,9.8,60.9,28.8,1.8
Red,Cocopeat+Sand,3, 70.30 , 4.21 , 0.80 , 49.81 , 40.50 ,227.111,1174.494,532.695,60.3,9.9,51.0,17.2,1.9
